본부,지사,노선,name,종별구분,이정(km),상부형식,GPS좌표 X,GPS좌표 Y
광주전남본부,보성지사,남해선(영암순천),강진IC1교,기타,19.62,파형강판교,34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),강진IC2교,기타,19.61,파형강판교,34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),강진IC3교,기타,19.61,파형강판교,34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),강진IC교(순천),3종,19.51,PSCI형교(PSCI),34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),강진IC교(영암),3종,19.51,PSCI형교(PSCI),34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),검단교(순천),3종,106.46,PSCI형교(PSCI),34.908997565,127.540538557
광주전남본부,보성지사,남해선(영암순천),검단교(영암),3종,106.45,PSCI형교(PSCI),34.908997565,127.540538557
광주전남본부,보성지사,남해선(영암순천),고흥IC1교,1종,84.13,PSC박스형교(PSCB),34.82385188,127.341513569
광주전남본부,보성지사,남해선(영암순천),고흥IC2교,3종,84.2,PSCI형교(PSCI),34.82385188,127.341513569
광주전남본부,보성지사,남해선(영암순천),고흥IC교,2종,84.02,강박스형교(STB),34.82385188,127.341513569
광주전남본부,보성지사,남해선(영암순천),광곡천교(순천),2종,56.77,PSCI형교(PSCI),34.807225953,127.063705142
광주전남본부,보성지사,남해선(영암순천),광곡천교(영암),2종,56.76,PSCI형교(PSCI),34.807225953,127.063705142
광주전남본부,보성지사,남해선(영암순천),금강천교(순천),1종,32.83,기타,34.687399073,126.855226227
광주전남본부,보성지사,남해선(영암순천),금강천교(영암),1종,32.83,기타,34.687399073,126.855226227
광주전남본부,보성지사,남해선(영암순천),금치철교(순천),3종,90.96,PSCI형교(PSCI),34.846326431,127.403110457
광주전남본부,보성지사,남해선(영암순천),금치철교(영암),3종,90.94,PSCI형교(PSCI),34.846326431,127.403110457
광주전남본부,보성지사,남해선(영암순천),남양1교(순천),2종,65.39,PSCI형교(PSCI),34.808446869,127.147836939
광주전남본부,보성지사,남해선(영암순천),남양1교(영암),2종,65.39,PSCI형교(PSCI),34.808446869,127.147836939
광주전남본부,보성지사,남해선(영암순천),남양2교(순천),3종,65.8,PSCI형교(PSCI),34.806753645,127.158569338
광주전남본부,보성지사,남해선(영암순천),남양2교(영암),3종,65.8,PSCI형교(PSCI),34.806753645,127.158569338
광주전남본부,보성지사,남해선(영암순천),남양3교,기타,65.96,파형강판교,34.806753645,127.158569338
광주전남본부,보성지사,남해선(영암순천),남양4교,기타,66.31,파형강판교,34.806753645,127.158569338
광주전남본부,보성지사,남해선(영암순천),남해금강천교,1종,19.7,강박스형교(STB),34.696297656,126.719977296
광주전남본부,보성지사,남해선(영암순천),남해금계1교(순천),2종,6.92,강박스형교(STB),34.730271893,126.592208959
광주전남본부,보성지사,남해선(영암순천),남해금계1교(영암),2종,6.92,강박스형교(STB),34.730271893,126.592208959
광주전남본부,보성지사,남해선(영암순천),남해금계2교,기타,7.89,라멘교(RA),34.727778438,126.602649337
광주전남본부,보성지사,남해선(영암순천),남해금계3교,기타,8.84,라멘교(RA),34.726338825,126.613427153
광주전남본부,보성지사,남해선(영암순천),남해금계4교(순천),3종,9.09,PSCI형교(PSCI),34.726338825,126.613427153
광주전남본부,보성지사,남해선(영암순천),남해금계4교(영암),3종,9.09,PSCI형교(PSCI),34.726338825,126.613427153
광주전남본부,보성지사,남해선(영암순천),남해성산교(순천),3종,106.57,프리플렉스형교(PF),,
광주전남본부,보성지사,남해선(영암순천),남해성산교(영암),3종,106.6,프리플렉스형교(PF),,
광주전남본부,보성지사,남해선(영암순천),남해송학교,3종,97.45,라멘교(RA),34.883129443,127.449685141
광주전남본부,보성지사,남해선(영암순천),남해수암교(순천),2종,20.5,PSCI형교(PSCI),34.696316464,126.730625029
광주전남본부,보성지사,남해선(영암순천),남해수암교(영암),2종,20.5,PSCI형교(PSCI),34.696316464,126.730625029
광주전남본부,보성지사,남해선(영암순천),남해조양교(순천),2종,48.5,PSCI형교(PSCI),34.762528493,126.999049419
광주전남본부,보성지사,남해선(영암순천),남해조양교(영암),2종,48.51,PSCI형교(PSCI),34.762528493,126.999049419
광주전남본부,보성지사,남해선(영암순천),남해청룡1교,기타,4.49,라멘교(RA),34.737259867,126.561040748
광주전남본부,보성지사,남해선(영암순천),남해청룡2교(순천),2종,6.27,PSCI형교(PSCI),34.733699712,126.582110655
